policy_id,contract_id,loss_date,loss_amount,attachment_point,limit,exposure
P0001,C002,2013-08-24,18798.8,200000,1000000,0.96
P0002,C001,2016-07-24,15964.29,100000,500000,1.07
P0003,C002,2013-09-10,34153.91,200000,1000000,0.86
P0004,C001,2016-01-16,11872.24,100000,500000,1.19
P0005,C002,2020-11-17,20916.04,200000,1000000,1.18
P0006,C002,2014-05-31,16926.61,200000,1000000,0.93
P0007,C001,2021-06-26,28861.3,100000,500000,0.84
P0008,C001,2015-11-13,17941.68,100000,500000,0.92
P0009,C002,2022-06-16,17923.15,200000,1000000,1.0
P0010,C002,2021-08-26,17093.24,200000,1000000,0.86
P0011,C001,2016-04-29,20794.61,100000,500000,1.08
P0012,C002,2021-01-23,104420.94,200000,1000000,1.01
P0013,C001,2014-04-15,22834.95,100000,500000,1.16
P0014,C001,2016-01-05,26506.92,100000,500000,1.12
P0015,C001,2015-05-22,20688.47,100000,500000,1.1
P0016,C002,2021-06-10,26264.85,200000,1000000,1.05
P0017,C002,2013-06-02,25690.56,200000,1000000,0.97
P0018,C002,2013-06-02,20142.2,200000,1000000,1.05
P0019,C001,2017-10-23,42432.62,100000,500000,0.96
P0020,C001,2020-07-17,14487.64,100000,500000,1.03
P0021,C002,2021-01-28,24214.1,200000,1000000,1.15
P0022,C002,2020-04-28,12008.14,200000,1000000,1.05
P0023,C001,2013-07-03,20605.26,100000,500000,1.17
P0024,C001,2023-02-18,147210.82,100000,500000,1.1
P0025,C002,2021-02-07,18012.14,200000,1000000,0.81
P0026,C002,2020-09-09,196571.57,200000,1000000,0.9
P0027,C002,2019-08-15,31560.93,200000,1000000,0.85
P0028,C001,2022-12-09,23284.59,100000,500000,1.19
P0029,C001,2019-08-30,119371.96,100000,500000,1.12
P0030,C001,2017-06-08,27157.53,100000,500000,1.1
P0031,C001,2018-10-05,27506.21,100000,500000,1.02
P0032,C001,2016-05-20,101027.67,100000,500000,1.19
P0033,C001,2016-07-19,28391.59,100000,500000,0.88
